rank,Title,avg_rating,review_count,positive_reviews,positive_pct,review_pct,weighted_score
232,Little House on the Prairie,4.543,394,350,88.83,0.0364,11.792
233,Adventures of Sherlock Holmes,4.369,498,428,85.94,0.0461,11.785
234,The Adventures of Sherlock Holmes: Sherlock Holmes Mysteries: Authorized Edition,4.369,498,428,85.94,0.0461,11.785
235,The Witch of Blackbird Pond,4.416,466,406,87.12,0.0431,11.784
236,The poisonwood Bible : a novel,4.274,566,466,82.33,0.0524,11.765
237,The Poisonwood Bible,4.264,573,470,82.02,0.053,11.759
238,The Fellowship of the Ring,4.451,437,376,86.04,0.0404,11.752
239,Romeo and Juliet,4.032,818,616,75.31,0.0757,11.744
240,Dracula (G. K. Hall (Large Print)),4.38,479,401,83.72,0.0443,11.74
241,A Princess of Mars,4.527,391,351,89.77,0.0362,11.734
242,Leaves of grass,4.275,552,444,80.43,0.0511,11.723
243,Dune,4.345,498,412,82.73,0.0461,11.72
244,Murder on the Orient Express,4.423,444,378,85.14,0.0411,11.71
245,Great Expectations (Signet classics),4.179,631,507,80.35,0.0584,11.702
246,Signature Classics - Great Expectations (Signature Classics Series),4.179,631,507,80.35,0.0584,11.702
247,Great Expectations (Enriched Classics),4.179,631,507,80.35,0.0584,11.702
248,Great expectations,4.177,628,504,80.25,0.0581,11.686
249,The Lord of the Rings: The Fellowship of the Ring (BBC Audio Collection),4.438,425,364,85.65,0.0393,11.664
250,The Fellowship of the Rings,4.438,425,364,85.65,0.0393,11.664
251,Blink: The Power of Thinking Without Thinking,3.807,1155,755,65.37,0.1068,11.659
252,Fellowship of the Ring 2ND Edition,4.436,424,363,85.61,0.0392,11.656
253,The Story of the Trapp Family Singers,4.757,280,276,98.57,0.0259,11.641
254,The Electric Kool-Aid Acid Test,4.223,566,452,79.86,0.0524,11.624
255,Twenty thousand leagues under the sea,4.129,652,524,80.37,0.0603,11.62
256,Crime and Punishment (Harvard Classics Shelf of Fiction ),4.401,436,374,85.78,0.0403,11.617
257,Crime and Punishment (Penguin Classics),4.401,436,374,85.78,0.0403,11.617
258,Return of the King Being the Third Part of The Lord of the Rings,4.62,326,303,92.94,0.0302,11.61
259,Crime & punishment;,4.405,425,365,85.88,0.0393,11.577
260,The Princess Bride,4.369,444,378,85.14,0.0411,11.567
261,Travels With Charley,4.319,476,398,83.61,0.044,11.565
262,The Awakening,3.897,928,676,72.84,0.0858,11.563
263,Seabiscuit: An American Legend (Trade Edition) (Turtleback School & Library Binding Edition),4.792,259,249,96.14,0.024,11.563
264,"How to Win Friends & Influence People (Cardinal Editions, C 303)",4.622,312,284,91.03,0.0289,11.527
265,The Stand. The Complete and Uncut Edition,4.402,415,342,82.41,0.0384,11.526
266,How to Win Friends & Influence People,4.619,312,284,91.03,0.0289,11.519
267,The Stand: The Complete and Uncut Edition (ISBN:0340358955),4.401,414,341,82.37,0.0383,11.517
268,The Killer Angels (Turtleback School & Library Binding Edition),4.772,259,250,96.53,0.024,11.517
269,The Red Tent (Bestselling Backlist),4.25,512,416,81.25,0.0474,11.514
270,Middlesex [Unabridged Audiobook],4.352,440,371,84.32,0.0407,11.505
271,Middlesex,4.352,440,371,84.32,0.0407,11.505
272,Red Tent,4.251,501,409,81.64,0.0463,11.478
273,A Farewell to Arms,4.034,698,506,72.49,0.0646,11.473
274,Watership Down,4.696,276,259,93.84,0.0255,11.462
275,WATERSHIP DOWN - AVON #19810,4.695,275,258,93.82,0.0254,11.452
276,Cat's cradle (A Dell book),4.376,410,351,85.61,0.0379,11.433
277,The great divorce,4.614,298,276,92.62,0.0276,11.416
278,When We Were Very Young,4.865,222,216,97.3,0.0205,11.415
279,Flatland: A Romance of Many Dimensions,4.228,500,394,78.8,0.0462,11.411
280,"The great divorce,",4.613,297,275,92.59,0.0275,11.406
281,Holes,4.616,292,266,91.1,0.027,11.381
282,Heart of Darkness,4.26,465,371,79.78,0.043,11.364
283,Persuasion (World's Classics),4.367,398,337,84.67,0.0368,11.353
284,Persuasion (French Edition),4.367,398,337,84.67,0.0368,11.353
285,Persuasion (Penguin Audio Classics),4.367,398,337,84.67,0.0368,11.353
286,FOUNDATION,4.24,475,391,82.32,0.0439,11.349
287,Foundation And Empire,4.241,474,390,82.28,0.0438,11.347
288,The Martian Way,4.242,472,388,82.2,0.0437,11.342
289,Tarzan of the Apes,4.5,330,300,90.91,0.0305,11.333
290,"Ulysses,",3.789,976,642,65.78,0.0903,11.327
291,Ulysses.,3.789,976,642,65.78,0.0903,11.327
292,Sense And Sensibility (CH) (Jane Austen Collection),4.384,383,328,85.64,0.0354,11.324
293,Sense & Sensibility Cds (Penguin Classics),4.384,383,328,85.64,0.0354,11.324
294,Sense & Sensibility (Classic Library),4.384,383,328,85.64,0.0354,11.324
295,Sense and sensibility,4.384,383,328,85.64,0.0354,11.324
296,Sense and Sensibility (Wordsworth Hardback Library),4.384,383,328,85.64,0.0354,11.324
297,"An inquiry into the nature and causes of the wealth of nations,",4.074,598,469,78.43,0.0553,11.311
298,Sense & Sensibility,4.381,381,326,85.56,0.0352,11.306
299,"Cry, the beloved country",4.338,402,334,83.08,0.0372,11.298
300,Never Cry Wolf,4.133,540,438,81.11,0.0499,11.294
301,The Lincoln Lawyer,4.575,292,269,92.12,0.027,11.28
302,I Capture the Castle,4.536,306,274,89.54,0.0283,11.275
303,The life and times of Jesus the Messiah,4.429,350,310,88.57,0.0324,11.267
304,THE RISE AND FALL ON THE THIRD REICH,4.684,253,236,93.28,0.0234,11.256
305,The Rise and Fall of the Third Reich - 2 Volumes Eastern Press Leather (A History of Nazi Germany),4.684,253,236,93.28,0.0234,11.256
306,A Portrait of the Artist as a Young Man,3.908,747,510,68.27,0.0691,11.228
307,Kushiel's Dart,4.056,585,444,75.9,0.0541,11.225
308,A journey to the centre of the earth,4.177,487,383,78.64,0.045,11.225
309,The Heart of the Matter,4.618,267,246,92.13,0.0247,11.206
310,Shane,4.74,231,215,93.07,0.0214,11.204
311,Mother Night,4.7,240,231,96.25,0.0222,11.187
312,Bridget Jones's Diary,4.0,624,454,72.76,0.0577,11.181
313,Emma (Radio Collection),4.275,411,339,82.48,0.038,11.174
314,Emma (Riverside Editions),4.275,411,339,82.48,0.038,11.174
315,Emma (Progress English),4.275,411,339,82.48,0.038,11.174
316,Emma (CH) (Jane Austen Collection),4.275,411,339,82.48,0.038,11.174
317,Emma (Summer Classics),4.275,411,339,82.48,0.038,11.174
318,Emma (The World's Classics),4.275,411,339,82.48,0.038,11.174
319,Emma (Letras Universales / Universal Writings) (Spanish Edition),4.275,411,339,82.48,0.038,11.174
320,Emma (World's Classics),4.275,411,339,82.48,0.038,11.174
321,Why revival tarries,4.966,177,177,100.0,0.0164,11.164
322,Me Talk Pretty One Day C,4.26,412,336,81.55,0.0381,11.139
323,Me Talk Pretty One Day (Turtleback School & Library Binding Edition),4.26,412,336,81.55,0.0381,11.139
324,Me Talk Pretty One Day,4.26,411,336,81.75,0.038,11.136
325,The Sea Wolf,4.269,405,335,82.72,0.0375,11.132
326,Hamlet,4.465,310,268,86.45,0.0287,11.123
327,A Tale of Two Cities - Literary Touchstone Edition,4.351,359,297,82.73,0.0332,11.117
328,"A Tale of Two Cities, Literary Touchstone Edition",4.351,359,297,82.73,0.0332,11.117
329,Psycho-Cybernetics,4.745,220,204,92.73,0.0203,11.116
330,Caddie Woodlawn,4.409,330,285,86.36,0.0305,11.104
331,The Tipping Point: How Little Things Can Make a Big Difference (Wheeler Compass),4.11,498,394,79.12,0.0461,11.087
332,Alice's Adventures in Wonderland and Through the Looking Glass (Classic Collection (Brilliance Audio)),4.003,588,422,71.77,0.0544,11.087
333,Frankenstein (Isis Large Print Fiction),4.219,424,341,80.42,0.0392,11.086
334,Bleak House,4.576,264,238,90.15,0.0244,11.081
335,Alice in Wonderland and Through the Looking Glass,4.002,587,421,71.72,0.0543,11.079
336,Frankenstein (Running Press classics),4.218,422,339,80.33,0.039,11.074
337,The Big Sleep,4.343,353,310,87.82,0.0327,11.064
338,Moby Dick,4.125,481,362,75.26,0.0445,11.063
339,The Scarlet Letter (Courage Unabridged Classics),3.929,650,456,70.15,0.0601,11.053
340,In Cold Blood: A True Account of a Multiple Murder and Its Consequences,4.552,268,244,91.04,0.0248,11.053
341,"The Scarlet Letter (Lake Illustrated Classics, Collection 2)",3.929,650,456,70.15,0.0601,11.053
342,The age of reason: Being an investigation of true and fabulous theology,4.485,291,252,86.6,0.0269,11.049
343,A tale of two cities,4.344,346,285,82.37,0.032,11.03
344,Five People You Meet in Heaven,4.05,522,394,75.48,0.0483,11.006
345,Zen And The Art of Motorcycle Maintenance,4.026,540,403,74.63,0.0499,11.0
346,Zen and the Art of Motorcycle Maintenance : An Inquiry Into Values,4.024,541,403,74.49,0.05,10.998
347,Zen and the Art of Motorcycle Maintenance : An Inquiry into Values,4.024,541,403,74.49,0.05,10.998
348,1491: New Revelations of the Americas Before Columbus,4.318,352,292,82.95,0.0326,10.996
349,Kon-Tiki,4.641,234,216,92.31,0.0216,10.996
350,"Moby Dick, or, The Whale",4.134,456,346,75.88,0.0422,10.992
351,"Moby Dick or The White Whale (World's Greatest Literature, 17)",4.132,456,345,75.66,0.0422,10.986
352,Moby-Dick or the Whale,4.132,456,345,75.66,0.0422,10.986
353,Moby-Dick or The Whale,4.132,456,345,75.66,0.0422,10.986
354,MOBY DICK or THE WHALE,4.132,456,345,75.66,0.0422,10.986
355,Cannery Row,4.542,262,236,90.08,0.0242,10.984
356,All the King's Men,4.598,244,224,91.8,0.0226,10.978
357,The cruel sea,4.739,207,200,96.62,0.0191,10.976
358,Anna Karenina,4.335,340,278,81.76,0.0314,10.975
359,Moby Dick Or the Whale,4.13,453,343,75.72,0.0419,10.97
360,The Scarlet Letter : A Romance,3.916,631,441,69.89,0.0584,10.965
361,The scarlet letter: a romance,3.916,631,441,69.89,0.0584,10.965
362,"Moby Dick;: Or, The whale,",4.128,452,342,75.66,0.0418,10.961
363,One for the Money,4.345,333,289,86.79,0.0308,10.961
364,Moby-Dick Or the Whale,4.128,452,342,75.66,0.0418,10.961
365,Moby Dick or The White Whale (Harper's Modern Classics),4.128,452,342,75.66,0.0418,10.961
366,I Am Legend,4.326,341,288,84.46,0.0315,10.955
367,"Guns, Germs, and Steel: The Fates of Human Societies",4.113,461,364,78.96,0.0426,10.955
368,I am Legend,4.321,343,289,84.26,0.0317,10.954
369,Moby Dick or the White Whale,4.126,451,341,75.61,0.0417,10.952
370,"Moby Dick;: Or, The white whale (A Signet classic)",4.126,451,341,75.61,0.0417,10.952
371,Watchmen,4.468,282,247,87.59,0.0261,10.948
372,Old Man & the Sea,4.276,362,288,79.56,0.0335,10.942
373,Moby Dick or the Whale (The World's Classics),4.127,448,339,75.67,0.0414,10.942
374,In the Heart of the Sea: The Tragedy of the Whaleship Essex,4.659,223,210,94.17,0.0206,10.941
375,In the Heart of the Sea,4.659,223,210,94.17,0.0206,10.941
376,In the Heart of the Sea : The Tragedy of the Whaleship Essex,4.659,223,210,94.17,0.0206,10.941
377,"Economics in one lesson,",4.379,314,263,83.76,0.029,10.934
378,"The Scarlet Letter, A Romance",3.909,623,434,69.66,0.0576,10.922
379,The Importance of Being Earnest and Other Plays,4.622,230,214,93.04,0.0213,10.915
380,Importance of Being Earnest Sig,4.615,231,214,92.64,0.0214,10.907
381,The Importance of Being Earnest [with Biographical Introduction],4.615,231,214,92.64,0.0214,10.907
382,The Importance of Being Earnest (Penguin Student Editions),4.615,231,214,92.64,0.0214,10.907
383,The Importance of Being Earnest (dramatized),4.615,231,214,92.64,0.0214,10.907
384,The Importance of Being Earnest,4.615,231,214,92.64,0.0214,10.907
385,The Importance of Being Earnest and Related Writings (Routledge English Texts),4.615,231,214,92.64,0.0214,10.907
386,The Importance of Being Earnest and Other Plays (Turtleback School & Library Binding Edition) (Penguin Classics),4.615,231,214,92.64,0.0214,10.907
387,Oscar Wilde: 'The Importance of Being Earnest' (Cambridge Literature),4.615,231,214,92.64,0.0214,10.907
388,Jonathan Livingston Seagull: A Story,4.268,358,288,80.45,0.0331,10.9
389,And Then There Were None,4.623,228,207,90.79,0.0211,10.9
390,And then there were none,4.623,228,207,90.79,0.0211,10.9
391,A confederacy of dunces,4.257,362,290,80.11,0.0335,10.892
392,Heart of Darkness (Everyman Classics),4.258,360,281,78.06,0.0333,10.886
393,Heart of Darkness and the Secret Sharer,4.258,360,281,78.06,0.0333,10.886
394,Narrative of the Life of Frederick Douglass: An American Slave,4.617,227,208,91.63,0.021,10.877
395,"Narrative of the Life of Frederick Douglass, An American Slave. Written by Himself",4.617,227,208,91.63,0.021,10.877
396,Under the Banner of Heaven: A Story of Violent Faith,4.216,380,312,82.11,0.0351,10.876
397,The Four Loves,4.635,222,207,93.24,0.0205,10.876
398,Under the Banner of Heaven,4.213,380,312,82.11,0.0351,10.869
399,The 7 habits of highly effective people: Wisdom and insights from,4.36,311,261,83.92,0.0288,10.869
400,Heart of Darkness. (Heritage Club Series),4.254,358,279,77.93,0.0331,10.865
401,"Narrative of the Life of Frederick Douglass, an American Slave",4.615,226,207,91.59,0.0209,10.864
402,The Shadow of the Wind Bestseller's Choice Audio,4.27,348,286,82.18,0.0322,10.853
403,"Autobiography Of Benjamin Franklin, The",4.189,387,303,78.29,0.0358,10.839
404,The Golden Compass,4.275,342,285,83.33,0.0316,10.833
405,The problem of pain,4.388,294,248,84.35,0.0272,10.831
406,With the Old Breed: At Peleliu and Okinawa,4.896,163,161,98.77,0.0151,10.83
407,The Silmarillion,4.345,310,258,83.23,0.0287,10.825
408,The Handmaid's Tale,4.258,345,281,81.45,0.0319,10.806
409,Middlemarch,4.249,349,275,78.8,0.0323,10.805
410,Autobiography of Benjamin Franklin,4.183,382,299,78.27,0.0353,10.801
411,Lolita,4.448,268,231,86.19,0.0248,10.8
412,The Canterbury Tales,4.167,390,306,78.46,0.0361,10.796
413,Alfred Hitchcock Presents 12 Stories for Late At Night,4.256,344,280,81.4,0.0318,10.795
414,Alfred Hitchcock Presents 12 Stories For Late Night,4.256,344,280,81.4,0.0318,10.795
415,Truman,4.816,174,167,95.98,0.0161,10.791
416,Cheaper By the Dozen,4.654,208,200,96.15,0.0192,10.788
417,Anne Frank the Diary of a Young Girl,4.704,196,188,95.92,0.0181,10.783
418,Anne Frank: The Diary of a Young Girl,4.704,196,188,95.92,0.0181,10.783
419,Lost Horizon,4.342,304,252,82.89,0.0281,10.781
420,The Mysterious Affair at Styles,4.195,370,308,83.24,0.0342,10.773
421,"The road to serfdom,",4.575,226,202,89.38,0.0209,10.771
422,Girl with a Pearl Earring,4.188,373,298,79.89,0.0345,10.769
423,Mysterious Affair at Styles,4.192,369,307,83.2,0.0341,10.762
424,The Other Boleyn Girl,4.27,330,272,82.42,0.0305,10.753
425,The Daughter of Time,4.496,246,216,87.8,0.0228,10.749
426,Clan of the Cave Bear (Earth's Children),4.555,229,207,90.39,0.0212,10.748
427,A Death in the Family,4.13,399,310,77.69,0.0369,10.743
428,Where The Wild Things Are,4.802,172,164,95.35,0.0159,10.736
429,Where the wild things are [by] Maurice Sendak (Novel units),4.802,172,164,95.35,0.0159,10.736
430,The Secret Garden,4.594,217,197,90.78,0.0201,10.735
431,"Killing Floor (Jack Reacher, No. 1)",4.021,466,346,74.25,0.0431,10.731
432,The Dharma Bums,4.347,294,246,83.67,0.0272,10.73
433,"The time machine,: An invention,",4.387,279,245,87.81,0.0258,10.729
434,The Time Machine: An Invention,4.387,279,245,87.81,0.0258,10.729
435,The Time Machine : An Invention (Literary Texts Ser.),4.387,279,245,87.81,0.0258,10.729
436,The Screwtape letters,4.72,186,177,95.16,0.0172,10.713
437,"The Screwtape letters,",4.72,186,177,95.16,0.0172,10.713
438,Cranford,4.301,309,274,88.67,0.0286,10.709
439,The Secret Garden (Worlds Classics),4.591,215,195,90.7,0.0199,10.708
440,The Moonstone,4.221,340,282,82.94,0.0314,10.684
441,Angela's Ashes (Turtleback School & Library Binding Edition),4.441,254,223,87.8,0.0235,10.68
442,The Hound of the Baskervilles,4.253,324,280,86.42,0.03,10.678
443,The cross and the switchblade,4.919,148,148,100.0,0.0137,10.675
444,"Moonstone, The",4.211,342,282,82.46,0.0316,10.67
445,All quiet on the western front;,4.672,192,178,92.71,0.0178,10.667
446,A Prayer for Owen Meany (Franklin Library Signed First Edition),4.531,224,197,87.95,0.0207,10.65
447,The Outsiders (Adapted for the Stage),4.498,233,212,90.99,0.0216,10.648
448,The Outsiders,4.498,233,212,90.99,0.0216,10.648
449,Outsiders,4.498,233,212,90.99,0.0216,10.648
450,A Room of One's Own,4.394,264,228,86.36,0.0244,10.64
